authors,number of publications,Degree,Betweenness,Deg_Cent
 Pau Pastor,3,29,0.0011861577442116838,0.0017335166477374618
 Lucia Ricciardi,2,11,0.0011861448798423596,0.000657540797417658
 Jian Wang,4,34,0.0011770576007052065,0.0020323988283818518
 Matthew J Farrer,5,58,0.0011606349089585376,0.0034670332954749236
 Fay B Horak,5,14,0.001145661424264642,0.000836870105804292
 Ryan J Uitti,3,34,0.0011388507991784429,0.0020323988283818518
 Francesc Valldeoriola,5,28,0.0011306420737085682,0.001673740211608584
 Wilma D J van de Berg,2,66,0.0011096698019867608,0.003945244784505948
 Thomas Arzberger,2,21,0.0011047277157605591,0.0012553051587064381
 Akinori Akaike,4,33,0.0011046637604201835,0.001972622392252974
Stéphane Thobois,2,14,0.001093735773308902,0.000836870105804292
 Xuemei Huang,6,67,0.0010810470240851645,0.004005021220634826
 Sun Ju Chung,3,47,0.0010644836803897183,0.002809492498057266
 Alice Chen-Plotkin,2,44,0.0010641658110826415,0.002630163189670632
 Georgia Xiromerisiou,2,49,0.0010324213285792287,0.002929045370315022
 Georgios M Hadjigeorgiou,2,49,0.0010324213285792287,0.002929045370315022
 Shizhong Zhang,2,20,0.0010232533767039825,0.00119552872257756
 Stewart A Factor,2,17,0.0010232533767039825,0.0010161994141909259
 Eleonora Baldonero,2,12,0.0010232533767039825,0.0007173172335465358
 Lefkos T Middleton,2,45,0.0009957046662780794,0.00268993962579951
 Nerea Vazquez,3,23,0.0009940750812430911,0.001374858030964194
 Antonio Pisani,2,23,0.0009853907286025364,0.001374858030964194
 E Sinforiani,2,27,0.0009824947665601526,0.001613963775479706
 Philippe De Deurwaerdère,2,11,0.0009824947665601526,0.000657540797417658
 Johannes Schwarz,3,19,0.0009612971446617485,0.0011357522864486821
 Sylvain Chouinard,3,35,0.0009541478086074439,0.00209217526451073
 Julie K Andersen,7,29,0.0009514707914446838,0.0017335166477374618
 A Rossi,2,16,0.0009417218626726287,0.0009564229780620481
 Richard Dodel,4,29,0.0009389052866766576,0.0017335166477374618
 Leonardo Lopiano,5,60,0.0009219085898510015,0.00358658616773268
 Claudia Schulte,4,59,0.0009199563643006789,0.0035268097316038024
 Leonidas Stefanis,5,25,0.0009019995489466241,0.00149441090322195
 John Bringas,3,24,0.000901792289663059,0.001434634467093072
 E K Tan,3,14,0.0009016207647387293,0.000836870105804292
 Nigel H Greig,4,23,0.0009014563866862466,0.001374858030964194
 Mercè Pallàs,4,28,0.0009011919524279053,0.001673740211608584
 S H Kim,2,28,0.0009009346650414108,0.001673740211608584
Andrea Sylvia Winkler,2,9,0.0009009346650414108,0.000537987925159902
 Victor S C Fung,2,23,0.0008917263414403047,0.001374858030964194
 Keiji Wada,3,25,0.0008782553944585949,0.00149441090322195
 Alan M Pittman,3,42,0.000871133360689344,0.0025106103174128763
 J Mark Gibson,2,52,0.0008542960708711241,0.0031083746787016558
 Timothy Lynch,2,52,0.0008542960708711241,0.0031083746787016558
 Michela Pievani,3,53,0.0008400397434684666,0.003168151114830534
 L Zrinzo,2,18,0.0008193173885478925,0.001075975850319804
 John Paul Taylor,2,42,0.0008180296394214272,0.0025106103174128763
 Cristina Malagelada,2,16,0.0008163157023721239,0.0009564229780620481
Núria Martín-Flores,2,16,0.0008163157023721239,0.0009564229780620481
 Ole-Bjørn Tysnes,2,25,0.0008156006029036251,0.00149441090322195
 P Pollak,3,28,0.0008104850460902818,0.001673740211608584
 Rodrigo Franco,4,31,0.0008075672755259848,0.001853069519995218
 Allan I Levey,4,21,0.0007995848753781374,0.0012553051587064381
 P Barone,3,31,0.0007982305431631179,0.001853069519995218
 Koichi Wakabayashi,6,32,0.0007952919876886644,0.0019128459561240962
 Stefano Goldwurm,2,34,0.0007839627012571816,0.0020323988283818518
 L Kelly,2,34,0.0007784873096855923,0.0020323988283818518
 A D Lawrence,2,7,0.0007784873096855923,0.000418435052902146
Laura Rocchi,2,7,0.0007784873096855923,0.000418435052902146
 Fumiaki Mori,5,30,0.0007745279426823164,0.00179329308386634
 Hee-Tae Kim,5,31,0.0007684601463859863,0.001853069519995218
 Rosario Sánchez-Pernaute,2,17,0.0007573587742149838,0.0010161994141909259
Garikoitz Azkona,2,17,0.0007573587742149838,0.0010161994141909259
 Tommaso Bovi,2,47,0.0007474928294625591,0.002809492498057266
 James B Leverenz,4,35,0.0007418825378327918,0.00209217526451073
 Hitoshi Takahashi,5,21,0.0007405779191180784,0.0012553051587064381
 Moussa B H Youdim,5,21,0.0007382790086739868,0.0012553051587064381
 Alim-Louis Benabid,3,24,0.0007378216088757744,0.001434634467093072
 Jacob Sage,3,12,0.0007376643776951389,0.0007173172335465358
 R Krüger,2,21,0.0007376429370795978,0.0012553051587064381
 Kelly D Foote,3,24,0.0007374221874209861,0.001434634467093072
